City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Tambun,ID,89.64,scattered clouds,-6.2641,107.0712,Metland Hotel Bekasi
194,Marawi,PH,76.64,broken clouds,7.9986,124.2928,Derogongan Residence
197,Quelimane,MZ,73.35,clear sky,-17.8786,36.8883,Hotel Flamingo
203,Ruteng,ID,76.41,overcast clouds,-8.6136,120.4721,Hotel FX 72
205,Dingle,PH,85.3,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
220,Conde,BR,78.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
223,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
228,Kandrian,PG,87.31,scattered clouds,-6.2167,149.55,Kandrian Station
230,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
232,Sinnamary,GF,77.81,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
237,Bajos De Haina,DO,75.16,scattered clouds,18.4154,-70.0332,Familia García Santana
240,Bonthe,SL,78.22,light rain,7.5264,-12.505,Bonthe Holiday Village
241,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
242,Cabo San Lucas,MX,74.95,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
245,Poum,NC,73.13,broken clouds,-20.2333,164.0167,Gîte kajeon
247,Ahuimanu,US,78.51,few clouds,21.4447,-157.8378,Paradise Bay Resort
253,Noumea,NC,78.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
254,Jizan,SA,79.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
259,Manokwari,ID,84.29,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
261,Acarau,BR,78.98,broken clouds,-2.8856,-40.12,castelo pizzaria
262,Flinders,AU,80.26,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
270,Sai Buri,TH,85.71,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
271,Dubbo,AU,73.53,light rain,-32.25,148.6167,Comfort Inn Blue Lagoon
273,Hirado,JP,72.75,clear sky,33.3597,129.5531,Samson Hotel
274,Nueva Gerona,CU,75.94,clear sky,21.8833,-82.8,Villa Gerona
275,Wewak,PG,86.58,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
278,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
279,Kloulklubed,PW,88.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
282,Lorengau,PG,86.07,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
287,Saint-Joseph,RE,81.46,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
291,Byron Bay,AU,84.31,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
295,Harper,LR,77.07,scattered clouds,4.375,-7.7169,Screensaver
300,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
302,Huilong,CN,73.04,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
311,Labuhan,ID,89.91,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
312,Niquelandia,BR,73.53,heavy intensity rain,-14.4739,-48.4597,Hotel Suinã
313,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
314,Djenne,ML,86.16,scattered clouds,13.9061,-4.5533,Hôtel Chez Baba
317,Minab,IR,74.7,clear sky,27.1467,57.0801,Bam campground
319,Itaituba,BR,73.38,light rain,-4.2761,-55.9836,Hotel Campos
321,Kiama,AU,80.46,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
322,La Orilla,MX,77.11,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
326,Fuzhou,CN,75.09,overcast clouds,26.0614,119.3061,Shangri La Hotel Fuzhou
329,Pochutla,MX,75.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
330,Massaguet,TD,80.64,clear sky,12.4755,15.4365,Alwatane
333,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,Hotel Fórum
335,Daru,PG,86.04,broken clouds,-9.0763,143.2092,Daru Lodge
344,Itaporanga,BR,80.38,overcast clouds,-7.3044,-38.1503,Hotel Rainha do Vale
347,Pundaguitan,PH,84.29,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
349,Isangel,VU,75.43,overcast clouds,-19.55,169.2667,Tanna Lodge
354,Bambous Virieux,MU,81.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
359,Palu,ID,86.0,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
360,Kuching,MY,77.22,moderate rain,1.55,110.3333,The Ranee Boutique Suites
363,Fougamou,GA,73.58,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
368,Xai-Xai,MZ,73.58,overcast clouds,-25.0519,33.6442,Complexo da Familia
369,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
372,Sur,OM,78.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
373,Sawtell,AU,84.52,light intensity drizzle,-30.3833,153.1,The Bungalow Sawtell
382,Pangobilian,PH,86.4,overcast clouds,8.8011,117.8594,Sir Brooke's Resort
386,Souillac,MU,81.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
390,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
391,Ambulu,ID,88.14,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
393,Nangal,IN,72.14,clear sky,31.3667,76.3833,Hotel Alitus
397,Bac Lieu,VN,86.25,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
398,Muscat,OM,80.62,clear sky,23.6139,58.5922,Mutrah Hotel
399,Banda Aceh,ID,82.08,overcast clouds,5.5577,95.3222,Sulthan Hotel International
401,San Nicolas,PH,89.51,few clouds,18.1725,120.5953,NORTHVIEW Hotel
403,Sao Filipe,CV,78.37,broken clouds,14.8961,-24.4956,Hotel Xaguate
411,Manaus,BR,75.69,moderate rain,-3.1019,-60.025,Manaus Hotéis Millennium
414,Ratnagiri,IN,82.15,broken clouds,16.9833,73.3,Hotel Landmark
419,Kalavad,IN,86.58,scattered clouds,22.2167,70.3833,Hetu Bapu Kadri
423,Santarem,BR,75.33,light rain,-2.4431,-54.7083,Ecotur Lodge
425,Bosaso,SO,80.26,few clouds,11.2842,49.1816,Red Sea Hotel
426,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
429,Lodwar,KE,81.0,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
436,Naze,JP,76.12,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
440,Madang,PG,86.77,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
441,Gizo,SB,85.12,light rain,-8.103,156.8419,Imagination Island
442,Tanabi,BR,80.82,overcast clouds,-20.6264,-49.6492,Point Hotel em Tanabi - SP
456,Bandarbeyla,SO,76.91,few clouds,9.4942,50.8122,JABIR HOTEL
458,Meiktila,MM,80.83,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
459,Shaoxing,CN,74.93,light rain,30.011,120.5715,Holiday Inn Shaoxing
465,Port Macquarie,AU,75.16,light rain,-31.4333,152.9167,Rydges Port Macquarie
466,Soyo,AO,77.45,overcast clouds,-6.1349,12.3689,Hotel Mpampa
469,Cartagena Del Chaira,CO,70.81,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
470,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
472,Siyabuswa,ZA,72.36,overcast clouds,-25.1132,29.0445,Survivor Africa Game Lodge
473,Tezu,IN,77.86,broken clouds,27.9167,96.1667,Circuit House
475,Tura,IN,75.2,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
477,Zinder,NE,77.72,scattered clouds,13.8072,8.9881,Hotel de Ville
479,Kavieng,PG,85.05,light rain,-2.5744,150.7967,Nusa Island Retreat
484,Mahajanga,MG,82.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
486,Chenghai,CN,84.11,few clouds,23.4632,116.76799999999999,Guangdong Hotel
487,Cap Malheureux,MU,81.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
488,Gat,IL,72.39,clear sky,31.61,34.7642,OlusHome
491,Salinopolis,BR,79.54,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
498,Palauig,PH,87.46,scattered clouds,15.435,119.9045,Alperi Botique Resort
499,Majene,ID,85.37,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
510,Paka,MY,89.53,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA
513,Kathu,TH,85.82,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
516,Vila Velha,BR,71.94,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
517,Bilma,NE,75.43,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
518,Sinazongwe,ZM,78.62,clear sky,-17.2614,27.4618,Lakeview Lodge
520,Mae Hong Son,TH,82.54,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
524,Surt,LY,71.65,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
527,Tutoia,BR,79.25,scattered clouds,-2.7619,-42.2744,Pousada Guará's
531,Meulaboh,ID,80.38,overcast clouds,4.1363,96.1285,Kost Pria
