City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hermanus,ZA,-34.4187,19.2345,57.79,86,27,11.92,scattered clouds
80,Mersing,MY,2.4312,103.8405,80.8,83,100,3.49,overcast clouds
81,Lasa,IT,46.6166,10.7002,29.14,56,11,4.45,few clouds
82,Yumen,CN,40.2833,97.2,25.99,62,100,20.29,overcast clouds
83,Cockburn Town,TC,21.4612,-71.1419,80.83,78,50,18.23,scattered clouds
84,Khani,GE,41.9563,42.9566,38.77,95,97,0.78,overcast clouds
85,Peniche,PT,39.3558,-9.3811,61.93,71,36,13.78,scattered clouds
86,Puerto Del Rosario,ES,28.5004,-13.8627,60.55,72,32,4.61,scattered clouds
87,Constantine,DZ,36.365,6.6147,50.72,81,45,2.42,scattered clouds
88,Sechura,PE,-5.5569,-80.8222,65.34,84,100,15.35,overcast clouds
89,Limbang,MY,4.75,115.0,87.91,60,92,1.81,overcast clouds
90,Bathsheba,BB,13.2167,-59.5167,79.02,77,33,12.95,scattered clouds
91,Hobart,AU,-42.8794,147.3294,62.02,77,75,8.05,broken clouds
92,Krasnopavlivka,UA,49.1372,36.3272,36.66,96,100,13.8,overcast clouds
93,Qaanaaq,GL,77.484,-69.3632,-4.14,72,81,7.99,broken clouds
94,Alofi,NU,-19.0595,-169.9187,79.75,83,13,13.73,few clouds
95,Saint-Louis,SN,16.3333,-15.0,82.24,29,65,9.8,broken clouds
96,Bilibino,RU,68.0546,166.4372,-20.16,91,4,3.85,clear sky
97,Dickinson,US,29.4608,-95.0513,60.75,74,1,0.0,clear sky
98,Lebu,CL,-37.6167,-73.65,53.37,93,34,17.45,scattered clouds
99,Kichmengskiy Gorodok,RU,59.9816,45.7854,31.17,89,100,10.2,overcast clouds
100,Amurzet,RU,47.6967,131.0981,21.43,68,100,4.92,overcast clouds
101,Locri,IT,38.2414,16.2623,62.17,82,5,6.82,clear sky
102,Clarence Town,AU,-32.5833,151.7833,88.34,33,100,10.02,overcast clouds
103,Chokurdakh,RU,70.6333,147.9167,-17.59,100,100,2.84,overcast clouds
104,Bacolod,PH,10.6667,122.95,84.36,73,57,3.83,broken clouds
105,Ciudad Bolivar,VE,8.1222,-63.5497,80.62,70,76,11.03,broken clouds
106,Severo-Kurilsk,RU,50.6789,156.125,36.34,98,100,35.7,moderate rain
107,San Carlos Del Zulia,VE,9.0,-71.9135,75.4,85,94,3.91,overcast clouds
108,Biak,ID,-0.9131,122.8766,84.9,68,47,1.61,scattered clouds
109,Bambous Virieux,MU,-20.3428,57.7575,76.21,68,6,10.94,clear sky
110,Rawson,AR,-43.3002,-65.1023,71.22,38,71,14.47,broken clouds
111,Takoradi,GH,4.8845,-1.7554,79.5,86,47,6.93,scattered clouds
112,Faya,SA,18.3851,42.4509,54.12,83,0,6.2,clear sky
113,Leshukonskoye,RU,64.8989,45.7622,29.01,91,100,10.2,overcast clouds
114,Dunedin,NZ,-45.8742,170.5036,63.54,60,100,6.31,light rain
115,Coquimbo,CL,-29.9533,-71.3436,58.73,82,90,5.75,overcast clouds
116,Castro,BR,-24.7911,-50.0119,59.61,92,90,9.8,overcast clouds
117,Leningradskiy,RU,69.3833,178.4167,-3.57,82,95,4.47,overcast clouds
118,Pacific Grove,US,36.6177,-121.9166,62.62,93,90,3.0,mist
119,Rabo De Peixe,PT,37.8,-25.5833,64.27,95,20,8.05,few clouds
120,Tooele,US,40.5308,-112.2983,47.97,87,1,0.0,clear sky
121,Buchanan,LR,5.8808,-10.0467,77.79,90,80,6.71,light rain
122,Rio Grande,BR,-32.035,-52.0986,60.94,67,0,9.71,clear sky
123,Provideniya,RU,64.3833,-173.3,11.05,75,2,8.21,clear sky
124,Ponta Do Sol,PT,32.6667,-17.1,63.72,64,3,5.3,clear sky
125,Alta Floresta,BR,-9.8756,-56.0861,71.67,98,100,3.09,moderate rain
126,Kruisfontein,ZA,-34.0033,24.7314,57.81,72,97,2.77,overcast clouds
127,Ilanskiy,RU,56.2358,96.065,6.03,85,97,9.6,overcast clouds
128,Namatanai,PG,-3.6667,152.4333,83.41,72,96,5.86,light rain
129,Hilo,US,19.7297,-155.09,78.53,78,90,8.05,overcast clouds
130,Bardiyah,LY,31.7561,25.0865,62.73,80,55,14.5,broken clouds
131,Kuching,MY,1.55,110.3333,80.82,83,20,4.61,few clouds
132,Floro,NO,61.5996,5.0328,44.96,87,75,16.11,moderate rain
133,Kibaya,TZ,-5.3,36.5667,58.84,86,57,3.83,broken clouds
134,Sobolevo,RU,54.4299,31.8996,45.7,89,100,22.08,overcast clouds
135,Prince Rupert,CA,54.3161,-130.3201,44.69,87,90,11.5,moderate rain
136,Ostrovnoy,RU,68.0531,39.5131,28.63,94,100,4.76,light snow
137,Saskylakh,RU,71.9167,114.0833,-21.19,97,45,7.36,scattered clouds
138,Husavik,IS,66.0449,-17.3389,30.11,84,100,8.1,overcast clouds
139,Quelimane,MZ,-17.8786,36.8883,76.32,91,59,4.23,broken clouds
140,Le Port,RE,-20.9373,55.2919,73.62,75,9,8.68,clear sky
141,Lavrentiya,RU,65.5833,-171.0,4.89,71,17,6.62,few clouds
142,Cidreira,BR,-30.1811,-50.2056,62.78,70,0,6.64,clear sky
143,Gamba,GA,-2.65,10.0,72.81,91,100,4.99,moderate rain
144,Tahoua,NE,14.8888,5.2692,75.52,14,5,10.8,clear sky
145,Briancon,FR,44.9,6.65,40.37,52,30,0.11,scattered clouds
146,Auki,SB,-8.7676,160.7034,82.47,77,100,4.21,overcast clouds
